# Kalibrierung geometrie.py an den Kuenstler-Masken STAGE1 (OHNE Regel (i), Objekt = gruppe)
Raum      Cut  ebene  Komp Felder Quelle   |  medMax  medMed  medMin | Rechtecke je Stufe 1/2/3/4/6/8/12/16 (X = Ueberlauf)
ROOM1200  1        0     4     17 kkpp     |     +44     +29     +23 | 102/96/72/59/47/40/28/25
ROOM1200  2        0     3     32 pkk      |      +6      -1      -8 | 30/24/20/18/17/15/15/13
ROOM1200  3        0     1      7 p        |      +9      +7      +0 | 51/29/20/16/11/11/7/8
ROOM1210  1        0     4     16 ppkp     |     +37     +34     +31 | 25/20/18/16/14/15/13/15
ROOM1210  2        0     1      9 p        |     +39     +19      +0 | 66/36/35/28/21/20/17/14
ROOM1210  3        0    19     61 pppppppp |     +34     +30     +26 | X/X/X/84/59/50/37/33
ROOM1210  4        0    33     70 pppkkkpp |     +22     +16     +10 | X/X/X/X/87/71/56/48
ROOM1210  5        0    27     70 ppkppppp |      +3      -3      -6 | X/X/X/93/64/53/42/34
ROOM1210  6        0    11     37 pppppppk |    +135    +124    +114 | X/X/89/69/51/41/29/27
ROOM1210  7        0    17     70 pppppppp |     +30     +23     +18 | X/X/X/X/84/67/52/39
ROOM1210  8        0    13     59 pkkpkppk |      +2      -1      -4 | 105/87/62/53/42/38/30/30

# Zusammenfassung: 107 Cuts, 511 Komponenten, 3055 Kuenstler-Rechtecke, 672 s
# Tiefenquelle je Komponente: keine=97, profil=414
# uebersprungen (Bodenebene uneindeutig): 7: ROOM1090 C3 (uneindeutig); ROOM1090 C7 (uneindeutig); ROOM1090 C11 (uneindeutig); ROOM1170 C1 (uneindeutig); ROOM1170 C2 (uneindeutig); ROOM1170 C4 (uneindeutig); ROOM1170 C5 (uneindeutig)
# Fehler Modell minus Kuenstler je Hypothese und Faktor (Einheit: OT-Bucket = 64,0625 vz):
# Faktor Stat    Median  Mittel  |e|<=2   |e|<8     e<-8      e>8      e<0      e>0
# 0.90   MAX      +14.0   +17.9    5.2%   14.9%    27.9%    55.1%    36.8%    61.9%
# 0.90   MED       +1.0    +5.5    5.6%   17.3%    38.4%    41.9%    48.3%    50.7%
# 0.90   MIN       -5.0    -0.9    5.0%   15.5%    45.5%    37.1%    54.6%    44.0%
# 0.95   MAX      +20.0   +26.1    5.8%   16.4%    21.5%    60.2%    29.8%    68.8%
# 0.95   MED       +7.0   +13.1    6.8%   20.5%    29.8%    47.4%    41.4%    57.6%
# 0.95   MIN       +1.0    +6.3    6.3%   19.9%    36.4%    41.3%    48.3%    50.2%
# 1.00   MAX      +27.0   +34.3    5.0%   15.4%    16.2%    66.4%    22.8%    76.2%
# 1.00   MED      +12.0   +20.6    7.6%   21.0%    21.3%    55.3%    31.4%    67.2%
# 1.00   MIN       +7.0   +13.5    8.5%   22.0%    28.3%    47.5%    39.1%    58.9%
# 1.05   MAX      +32.0   +42.6    3.9%   11.3%    13.5%    73.9%    17.9%    81.2%
# 1.05   MED      +18.0   +28.2    6.1%   17.4%    16.4%    64.3%    23.9%    74.8%
# 1.05   MIN      +13.0   +20.7    6.9%   20.1%    21.5%    56.6%    30.3%    68.2%
# 1.10   MAX      +39.0   +50.8    2.3%    7.1%    11.4%    80.2%    14.4%    85.1%
# 1.10   MED      +25.0   +35.7    3.7%   12.0%    13.8%    72.8%    18.1%    81.2%
# 1.10   MIN      +19.0   +27.9    5.5%   15.3%    17.4%    65.1%    23.8%    75.4%
# Streuung der Modelltiefe (Faktor 1,00) INNERHALB eines Kuenstler-Rechtecks (max-min): Median 9  p75 23  p90 57  p95 90  Anteil <=1: 11.5 %  <=2: 19.7 %  <=4: 30.8 %  <=8: 49.3 %
# Stufe  1: Zerlegung haelt in 49 von 107 Cuts; Rechtecke Median 46 p90 102 max 105; Ueberlauf 58
# Stufe  2: Zerlegung haelt in 77 von 107 Cuts; Rechtecke Median 59 p90 105 max 105; Ueberlauf 30
# Stufe  3: Zerlegung haelt in 88 von 107 Cuts; Rechtecke Median 56 p90 104 max 105; Ueberlauf 19
# Stufe  4: Zerlegung haelt in 98 von 107 Cuts; Rechtecke Median 51 p90 105 max 105; Ueberlauf 9
# Stufe  6: Zerlegung haelt in 106 von 107 Cuts; Rechtecke Median 42 p90 102 max 105; Ueberlauf 1
# Stufe  8: Zerlegung haelt in 107 von 107 Cuts; Rechtecke Median 36 p90 93 max 105; Ueberlauf 0
# Stufe 12: Zerlegung haelt in 107 von 107 Cuts; Rechtecke Median 29 p90 70 max 105; Ueberlauf 0
# Stufe 16: Zerlegung haelt in 107 von 107 Cuts; Rechtecke Median 25 p90 61 max 105; Ueberlauf 0
