# RE1.5 Port — BEFUND-LOG (Sep  6 2026 09:39:45)
# Eine Zeile je 15 Bilder, dazu jede F9-MARKE.
# Spalten:
#   F<n>        Bildnummer
#   R<xxxx> C<n> Raum und Kamerawinkel
#   pos=(x,y,z) Weltlage der Figur, rot = Blickrichtung (0..4095)
#   vz=a/b/c    Kamera-Tiefe von FUSS / HUEFTE / KOPF
#   scr=(x,y)   Fusspunkt im 320x240-Bild
#   kasten=...  geschaetzter Bildkasten der Figur (Messgroesse)
#   masken=n    geladene Vordergrund-Masken dieses Winkels
#   [i:(x,y)wxh t=T z=Z DECKT|frei]  jede Maske, die den Kasten beruehrt.
#       Der Zeichner verdeckt, solange die Figur-Tiefe GROESSER als z ist
#       (z = T*64). 'frei' heisst: die Figur steht VOR dieser Maske.
# ---------------------------------------------------------------
F930     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F945     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F960     R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F975     R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F990     R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1005    R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1020    R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1035    R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1050    R1240 C5  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1065    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1080    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1095    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1110    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1125    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1140    R1240 C6  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1155    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1170    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1185    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1200    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1215    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1230    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1245    R1240 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1260    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1275    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1290    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1305    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1320    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1335    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1350    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1365    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1380    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1395    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F1410    R1240 C8  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F4       R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F19      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F34      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F49      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F64      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F79      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F94      R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F109     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F124     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F139     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F154     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F169     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F184     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F199     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F214     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F229     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F244     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F259     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F274     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F289     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F304     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F319     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F334     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F349     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F364     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F379     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F394     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F409     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F424     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F439     R1170 C7  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F454     R1170 C0  pos=(-31000, -7200, 31000) rot=1024  vz=14798/14493/14187 scr=(-369, 97) kasten=x-378..-360,y71..100 masken=0 | keine Maske am Koerper
F469     R1170 C0  pos=(-31000, -7200, 31000) rot=1024  vz=14798/14493/14187 scr=(-369, 97) kasten=x-378..-360,y71..100 masken=0 | keine Maske am Koerper
